"No.","Time","Source","Destination","Protocol","Length","Data","Info"
"77","46.194171","0x0000","Broadcast","ZigBee","50","8cc49070c8","Command, Dst: Broadcast, Src: 0x0000"
"78","46.433166","0xa8a1","0x0000","ZigBee","68","00707d07ebc355d0c4299f8291c9a6","Data, Dst: 0x0000, Src: 0xa8a1"
"80","46.444765","0x0000","0xa8a1","ZigBee","61","ea54f36f8a9bd52d","Data, Dst: 0xa8a1, Src: 0x0000"
"82","49.013535","0xa8a1","0x0000","ZigBee","68","a2d03dfc98b797471699ee5ee514c4","Data, Dst: 0x0000, Src: 0xa8a1"
"84","49.024694","0x0000","0xa8a1","ZigBee","61","9b37b4a5f68f7333","Data, Dst: 0xa8a1, Src: 0x0000"
"86","51.594328","0xa8a1","0x0000","ZigBee","68","d5c0335f74bb1c9d05953bb4369d54","Data, Dst: 0x0000, Src: 0xa8a1"
"88","51.604717","0x0000","0xa8a1","ZigBee","61","cd01abe18e1eb8e8","Data, Dst: 0xa8a1, Src: 0x0000"
"91","54.184386","0x0000","0xa8a1","ZigBee","61","638c872ee6980eeb","Data, Dst: 0xa8a1, Src: 0x0000"
"93","56.755164","0xa8a1","0x0000","ZigBee","68","d143ae5c96b9375d4d95f20f7dfe88","Data, Dst: 0x0000, Src: 0xa8a1"
"95","56.766698","0x0000","0xa8a1","ZigBee","61","9dd03db54e40f7cc","Data, Dst: 0xa8a1, Src: 0x0000"
"97","59.334793","0xa8a1","0x0000","ZigBee","68","bd9f3fa376b1421517effe31dca2b4","Data, Dst: 0x0000, Src: 0xa8a1"
"99","59.345501","0x0000","0xa8a1","ZigBee","61","8fd35126cb6a768e","Data, Dst: 0xa8a1, Src: 0x0000"
"101","61.077877","0x0000","Broadcast","ZigBee","50","f3cca3104f","Command, Dst: Broadcast, Src: 0x0000"
"102","61.856439","0xa8a1","Broadcast","ZigBee","50","4cc47f5aa0","Command, Dst: Broadcast, Src: 0xa8a1"
"104","61.929444","0x0000","Broadcast","ZigBee","59","ffbc1cfeb4a2f2be98fee985bfed","Command, Dst: Broadcast, Src: 0x0000"
"105","61.936850","0xa8a1","0x0000","ZigBee","77","f438bf31d937e42b0cd30673b4be64029357efeec916d5f1","Command, Dst: 0x0000, Src: 0xa8a1"
"107","62.250295","0x0000","Broadcast","ZigBee","59","c289ed73ec6c93cb968c1f22aa06","Command, Dst: Broadcast, Src: 0x0000"
"108","62.334231","0xa8a1","0x0000","ZigBee","77","923336e721d868524296c4a15e0d0946d974df38cc8a284c","Command, Dst: 0x0000, Src: 0xa8a1"
"110","62.578728","0x0000","Broadcast","ZigBee","59","5d2f2013e142b6686e7a5526b19d","Command, Dst: Broadcast, Src: 0x0000"
"111","62.733371","0xa8a1","0x0000","ZigBee","77","fc6ef6e0e5797cd4eabdab70be8adf65e2579665a89c0705","Command, Dst: 0x0000, Src: 0xa8a1"
"113","62.891478","0x0000","Broadcast","ZigBee","59","21f3aa05dd01ec5425f8682b3b03","Command, Dst: Broadcast, Src: 0x0000"
"114","63.482224","0xa8a1","0x0000","ZigBee","68","54de72035f2a6b56eb483eb02fe630","Data, Dst: 0x0000, Src: 0xa8a1"
"116","63.490867","0x0000","0xa8a1","ZigBee","61","5f195a000c9aeeee","Data, Dst: 0xa8a1, Src: 0x0000"
"117","64.498437","0xa8a1","0x0000","ZigBee","68","f336750f914a29c82bef9decbb2927","Data, Dst: 0x0000, Src: 0xa8a1"
"119","64.508996","0x0000","0xa8a1","ZigBee","61","597df545c5c8188c","Data, Dst: 0xa8a1, Src: 0x0000"
"121","67.078044","0xa8a1","0x0000","ZigBee","68","71931c305fba797fdb7f035ab202f6","Data, Dst: 0x0000, Src: 0xa8a1"
"123","67.088089","0x0000","0xa8a1","ZigBee","61","14d7d264db7a0378","Data, Dst: 0xa8a1, Src: 0x0000"
"125","69.659592","0xa8a1","0x0000","ZigBee","68","1c5113f2607f321639a4135a32f972","Data, Dst: 0x0000, Src: 0xa8a1"
"127","69.669769","0x0000","0xa8a1","ZigBee","61","e5d8994be9f474dd","Data, Dst: 0xa8a1, Src: 0x0000"
"129","72.239612","0xa8a1","0x0000","ZigBee","68","94c111d4f1ffa1674d72ead3357917","Data, Dst: 0x0000, Src: 0xa8a1"
"131","72.251853","0x0000","0xa8a1","ZigBee","61","ac30e573b9beddcc","Data, Dst: 0xa8a1, Src: 0x0000"
"133","74.730216","0x0000","Broadcast","ZigBee","50","94ff992dcc","Command, Dst: Broadcast, Src: 0x0000"
"134","74.820733","0xa8a1","0x0000","ZigBee","68","1075f389fee9c5762320ca1c6f4264","Data, Dst: 0x0000, Src: 0xa8a1"
"136","74.832643","0x0000","0xa8a1","ZigBee","61","cf23b3af1a7d5a65","Data, Dst: 0xa8a1, Src: 0x0000"
"139","77.411483","0x0000","0xa8a1","ZigBee","61","163264c2a2d508ba","Data, Dst: 0xa8a1, Src: 0x0000"
